iter	Passed	Remaining
354	232296	1076415
355	232946	1075742
356	233587	1075026
357	234236	1074348
358	234904	1073754
359	235535	1072993
360	236245	1072591
361	236922	1072040
362	237614	1071554
363	238235	1070751
364	238853	1069933
365	239490	1069198
366	240147	1068560
367	240817	1067971
368	241425	1067114
369	242041	1066292
370	242720	1065747
371	243413	1065263
372	244075	1064639
373	244719	1063940
374	245365	1063249
375	246021	1062603
376	246661	1061885
377	247286	1061108
378	247898	1060274
379	248536	1059551
380	249191	1058900
381	249904	1058497
382	250591	1057978
383	251259	1057381
384	251907	1056703
385	252521	1055879
386	253144	1055097
387	253762	1054292
388	254398	1053563
389	255055	1052922
390	255599	1051814
391	256293	1051328
392	256927	1050592
393	257551	1049816
394	258200	1049142
395	258807	1048300
396	259445	1047586
397	260130	1047056
398	260811	1046514
399	261478	1045912
400	262108	1045166
401	262739	1044421
402	263383	1043731
403	264020	1043010
404	264683	1042394
405	265313	1041649
406	265968	1041001
407	266530	1039992
408	267136	1039154
409	267818	1038613
410	268541	1038227
411	269179	1037517
412	269699	1036351
413	270336	1035638
414	270985	1034968
415	271587	1034120
416	272230	1033430
417	272849	1032650
418	273377	1031527
419	274053	1030962
420	274687	1030242
421	275328	1029546
422	275965	1028837
423	276686	1028437
424	277320	1027718
425	277954	1026995
426	278596	1026305
427	279234	1025600
428	279918	1025061
429	280556	1024357
430	281168	1023557
431	281818	1022895
432	282499	1022346
433	283156	1021713
434	283763	1020894
435	284406	1020209
436	285065	1019582
437	285684	1018809
438	286301	1018033
439	286937	1017324
440	287536	1016484
441	288176	1015788
442	288823	1015120
443	289426	1014297
444	290074	1013629
445	290631	1012647
446	291246	1011869
447	291912	1011267
448	292557	1010592
449	293249	1010081
450	293884	1009373
451	294536	1008720
452	295199	1008108
453	295872	1007531
454	296524	1006881
455	297156	1006161
456	297811	1005521
457	298521	1005066
458	299182	1004446
459	299837	1003805
460	300472	1003095
461	301085	1002314
462	301693	1001517
463	302350	1000885
464	302992	1000200
465	303644	999552
466	304264	998795
467	304905	998109
468	305593	997576
469	306274	997021
470	306926	996369
471	307535	995580
472	308166	994863
473	308870	994380
474	309491	993629
475	310148	992997
476	310772	992256
477	311415	991578
478	312057	990896
479	312702	990224
480	313154	988941
481	313774	988193
482	314411	987500
483	315036	986766
484	315689	986123
485	316307	985371
486	316991	984820
487	317648	984190
488	318261	983422
489	318905	982749
490	319547	982070
491	320196	981415
492	320810	980650
493	321345	979649
494	321955	978875
495	322591	978179
496	323235	977509
497	323838	976718
498	324499	976100
499	325158	975476
500	325854	974962
501	326572	974513
502	327238	973909
503	327858	973165
504	328475	972417
505	329109	971718
506	329761	971073
507	330407	970408
508	331044	969720
509	331680	969025
510	332334	968388
511	332967	967687
512	333617	967035
513	334280	966420
514	334989	965941
515	335663	965358
516	336371	964872
517	336938	963982
518	337580	963308
519	338282	962805
520	339005	962359
521	339672	961754
522	340296	961029
523	340932	960335
524	341562	959627
525	342202	958946
526	342821	958207
527	343465	957538
528	344056	956723
529	344748	956189
530	345405	955555
531	346037	954854
532	346696	954228
533	347346	953577
534	348022	952995
535	348704	952432
536	349413	951941
537	350114	951426
538	350747	950726
539	351393	950063
540	352103	949574
541	352784	949003
542	353456	948409
543	354077	947678
544	354729	947030
545	355355	946314
546	356064	945816
547	356771	945314
548	357444	944722
549	358094	944066
550	358710	943323
551	359357	942662
552	360005	942003
553	360692	941446
554	361371	940867
555	361997	940152
556	362650	939506
557	363263	938756
558	363884	938028
559	364458	937179
560	365147	936626
561	365789	935951
562	366357	935089
563	366963	934325
564	367592	933620
565	368196	932852
566	368840	932184
567	369499	931555
568	370129	930851
569	370754	930138
570	371380	929425
571	372090	928924
572	372663	928082
573	373361	927548
574	373996	926861
575	374643	926202
576	375326	925632
577	376014	925073
578	376646	924377
579	377318	923780
580	377972	923138
581	378643	922535
582	379283	921861
583	379973	921306
584	380637	920687
585	381215	919860
586	381865	919208
587	382545	918629
588	383268	918152
589	384015	917731
590	384703	917170
591	385379	916578
592	386056	915989
593	386624	915140
594	387246	914423
595	387854	913671
596	388566	913163
597	389214	912506
598	389860	911844
599	390514	911200
600	391070	910328
601	391689	909604
602	392407	909109
603	393020	908371
604	393671	907721
605	394323	907075
606	394972	906420
607	395518	905529
608	396218	904990
609	396716	903993
610	397358	903323
611	397968	902582
612	398617	901929
613	399247	901233
614	399898	900583
615	400557	899953
616	401149	899173
617	401784	898489
618	402402	897766
619	403013	897030
620	403728	896523
621	404366	895846
622	404901	894941
623	405528	894241
624	406192	893622
625	406822	892929
626	407492	892324
627	408124	891635
628	408777	890992
629	409400	890284
630	410014	889555
631	410619	888808
632	411219	888051
633	411815	887287
634	412399	886496
635	413074	885900
636	413699	885200
637	414361	884576
638	415009	883925
639	415693	883348
640	416331	882674
641	416948	881957
642	417577	881264
643	418174	880503
644	418763	879728
645	419447	879151
646	420077	878462
647	420601	877551
648	421214	876826
649	421849	876148
650	422505	875515
651	423139	874833
652	423795	874200
653	424474	873612
654	425100	872916
655	425798	872368
656	426456	871736
657	427074	871024
658	427424	869766
659	427970	868909
660	428616	868257
661	429317	867714
662	429937	867008
663	430510	866206
664	431219	865681
665	431839	864975
666	432496	864343
667	433136	863679
668	433746	862954
669	434317	862153
670	434953	861480
671	435571	860772
672	436135	859957
673	436724	859192
674	437371	858543
675	438018	857893
676	438562	857043
677	439182	856341
678	439785	855606
679	440445	854983
680	441012	854179
681	441679	853567
682	442292	852854
683	442957	852239
684	443589	851562
685	444206	850856
686	444820	850143
687	445271	849122
688	445931	848500
689	446608	847909
690	447192	847141
691	447898	846606
692	448537	845942
693	449182	845292
694	449795	844579
695	450407	843867
696	451128	843356
697	451728	842622
698	452286	841809
699	452915	841128
700	453478	840326
701	454033	839508
702	454559	838640
703	455226	838030
704	455827	837299
705	456481	836667
706	457115	835998
707	457767	835361
708	458390	834671
709	459033	834018
710	459660	833336
711	460261	832608
712	460917	831979
713	461526	831264
714	462156	830588
715	462761	829868
716	463404	829216
717	464011	828499
718	464648	827836
719	465247	827105
720	465873	826424
721	466538	825812
722	467163	825129
723	467830	824518
724	468454	823833
725	469045	823091
726	469702	822464
727	470313	821756
728	470984	821153
729	471620	820489
730	472237	819794
731	472894	819166
732	473513	818473
733	474175	817856
734	474778	817135
735	475326	816321
736	476028	815772
737	476623	815038
738	477266	814387
739	477878	813685
740	478502	813002
741	478972	812059
742	479669	811499
743	480322	810867
744	481035	810335
745	481672	809675
746	482327	809044
747	482975	808403
748	483613	807744
749	484256	807093
750	484869	806393
751	485515	805748
752	486168	805116
753	486793	804435
754	487474	803848
755	488179	803299
756	488839	802678
757	489449	801973
758	490131	801387
759	490739	800680
760	491392	800046
761	492035	799395
762	492717	798808
763	493338	798124
764	494016	797529
765	494690	796929
766	495307	796238
767	495882	795477
768	496256	794397
769	496891	793736
770	497595	793184
771	498198	792471
772	498875	791875
773	499521	791231
774	500138	790541
775	500778	789888
776	501369	789157
777	501977	788452
778	502638	787833
779	503272	787170
780	503645	786099
781	504268	785421
782	504821	784633
783	505377	783851
784	506041	783236
785	506628	782502
786	507267	781850
787	507925	781224
788	508542	780539
789	509202	779917
790	509864	779299
791	510549	778716
792	511202	778085
793	511836	777423
794	512546	776879
795	513161	776189
796	513766	775484
797	514429	774867
798	515071	774218
799	515724	773587
800	516337	772894
801	516962	772221
802	517349	771191
803	518012	770575
804	518646	769915
805	519306	769295
806	519938	768632
807	520377	767685
808	521092	767145
809	521750	766521
810	522403	765891
811	523057	765262
812	523698	764612
813	524326	763944
814	524984	763321
815	525438	762400
816	526108	761795
817	526741	761135
818	527342	760428
819	527963	759752
820	528422	758843
821	529018	758131
822	529697	757538
823	530339	756892
824	530979	756244
825	531629	755609
826	532260	754947
827	532894	754289
828	533345	753375
829	534041	752805
830	534788	752307
831	535428	751659
832	536108	751066
833	536803	750494
834	537503	749930
835	538145	749283
836	538797	748651
837	539480	748061
838	539956	747186
839	540598	746541
